PS C:\Users\Mingde\OneDrive\2023 Sp\INFO 550\Final project\myCode> & 'C:\ProgramData\Anaconda3\python.exe' pacman.py -p PacmanDQN -n 15200 -x 15000 -l mediumClassic
Training model
Episode No. 1   | lose | Q(s,a) = -999.0000     | reward = -478.0       | epsilon = 0.9999
Episode No. 2   | lose | Q(s,a) = -999.0000     | reward = -477.0       | epsilon = 0.9997
Episode No. 3   | lose | Q(s,a) =  0.0305       | reward = -473.0       | epsilon = 0.9996
Episode No. 4   | lose | Q(s,a) = -999.0000     | reward = -496.0       | epsilon = 0.9995
Episode No. 5   | lose | Q(s,a) = -999.0000     | reward = -412.0       | epsilon = 0.9993
Episode No. 6   | lose | Q(s,a) = -999.0000     | reward = -460.0       | epsilon = 0.9992
Episode No. 7   | lose | Q(s,a) = -999.0000     | reward = -440.0       | epsilon = 0.9991
Episode No. 8   | lose | Q(s,a) = -999.0000     | reward = -475.0       | epsilon = 0.9989
Episode No. 9   | lose | Q(s,a) = -999.0000     | reward = -490.0       | epsilon = 0.9988
Episode No. 10  | lose | Q(s,a) = -999.0000     | reward = -429.0       | epsilon = 0.9987
Episode No. 11  | lose | Q(s,a) = -999.0000     | reward = -442.0       | epsilon = 0.9985
Episode No. 12  | lose | Q(s,a) = -999.0000     | reward = -393.0       | epsilon = 0.9984
Episode No. 13  | lose | Q(s,a) = -0.6330       | reward = -524.0       | epsilon = 0.9983
Episode No. 14  | lose | Q(s,a) = -999.0000     | reward = -460.0       | epsilon = 0.9981
Episode No. 15  | lose | Q(s,a) = -999.0000     | reward = -456.0       | epsilon = 0.9980
Episode No. 16  | lose | Q(s,a) = -0.5942       | reward = -434.0       | epsilon = 0.9979
Episode No. 17  | lose | Q(s,a) = -999.0000     | reward = -493.0       | epsilon = 0.9977
Episode No. 18  | lose | Q(s,a) = -999.0000     | reward = -515.0       | epsilon = 0.9976
Episode No. 19  | lose | Q(s,a) = -999.0000     | reward = -512.0       | epsilon = 0.9975
Episode No. 20  | lose | Q(s,a) = -0.6208       | reward = -360.0       | epsilon = 0.9973
Episode No. 21  | lose | Q(s,a) = -0.7094       | reward = -583.0       | epsilon = 0.9972
Episode No. 22  | lose | Q(s,a) = -999.0000     | reward = -273.0       | epsilon = 0.9971
Episode No. 23  | lose | Q(s,a) = -999.0000     | reward = -428.0       | epsilon = 0.9969
Episode No. 24  | lose | Q(s,a) = -999.0000     | reward = -455.0       | epsilon = 0.9968
Episode No. 25  | lose | Q(s,a) = -999.0000     | reward = -535.0       | epsilon = 0.9967
Episode No. 26  | lose | Q(s,a) = -999.0000     | reward = -456.0       | epsilon = 0.9965
Episode No. 27  | lose | Q(s,a) = -999.0000     | reward = -475.0       | epsilon = 0.9964
Episode No. 28  | lose | Q(s,a) = -999.0000     | reward = -482.0       | epsilon = 0.9963
Episode No. 29  | lose | Q(s,a) = -999.0000     | reward = -451.0       | epsilon = 0.9961
Episode No. 30  | lose | Q(s,a) = -999.0000     | reward = -495.0       | epsilon = 0.9960
Episode No. 31  | lose | Q(s,a) = -999.0000     | reward = -444.0       | epsilon = 0.9959
Episode No. 32  | lose | Q(s,a) = -999.0000     | reward = -469.0       | epsilon = 0.9957
Episode No. 33  | lose | Q(s,a) = -999.0000     | reward = -453.0       | epsilon = 0.9956
Episode No. 34  | lose | Q(s,a) = -999.0000     | reward = -440.0       | epsilon = 0.9955
Episode No. 35  | lose | Q(s,a) = -999.0000     | reward = -441.0       | epsilon = 0.9953
Episode No. 36  | lose | Q(s,a) = -999.0000     | reward = -477.0       | epsilon = 0.9952
Episode No. 37  | lose | Q(s,a) = -999.0000     | reward = -506.0       | epsilon = 0.9951
Episode No. 38  | lose | Q(s,a) = -999.0000     | reward = -451.0       | epsilon = 0.9949
Episode No. 39  | lose | Q(s,a) = -999.0000     | reward = -502.0       | epsilon = 0.9948
Episode No. 40  | lose | Q(s,a) = -999.0000     | reward = -388.0       | epsilon = 0.9947
Episode No. 41  | lose | Q(s,a) = -999.0000     | reward = -481.0       | epsilon = 0.9945
Episode No. 42  | lose | Q(s,a) =  2.1826       | reward = -439.0       | epsilon = 0.9944
Episode No. 43  | lose | Q(s,a) = -999.0000     | reward = -512.0       | epsilon = 0.9943
Episode No. 44  | lose | Q(s,a) = -999.0000     | reward = -504.0       | epsilon = 0.9941
Episode No. 45  | lose | Q(s,a) = -999.0000     | reward = -444.0       | epsilon = 0.9940
Episode No. 46  | lose | Q(s,a) = -999.0000     | reward = -485.0       | epsilon = 0.9939
Episode No. 47  | lose | Q(s,a) = -999.0000     | reward = -434.0       | epsilon = 0.9937
Episode No. 48  | lose | Q(s,a) = -999.0000     | reward = -487.0       | epsilon = 0.9936
Episode No. 49  | lose | Q(s,a) = -0.8831       | reward = -458.0       | epsilon = 0.9935
Episode No. 50  | lose | Q(s,a) = -999.0000     | reward = -459.0       | epsilon = 0.9933
Episode No. 51  | lose | Q(s,a) =  0.5128       | reward = -512.0       | epsilon = 0.9932
Episode No. 52  | lose | Q(s,a) = -999.0000     | reward = -465.0       | epsilon = 0.9931
Episode No. 53  | lose | Q(s,a) =  9.0349       | reward = -460.0       | epsilon = 0.9929
Episode No. 54  | lose | Q(s,a) =  10.4912      | reward = -238.0       | epsilon = 0.9928
Episode No. 55  | lose | Q(s,a) =  1.1734       | reward = -386.0       | epsilon = 0.9927
Episode No. 56  | lose | Q(s,a) = -0.4949       | reward = -516.0       | epsilon = 0.9925
Episode No. 57  | lose | Q(s,a) = -0.5646       | reward = -472.0       | epsilon = 0.9924
Episode No. 58  | lose | Q(s,a) = -0.3092       | reward = -360.0       | epsilon = 0.9923
Episode No. 59  | lose | Q(s,a) = -999.0000     | reward = -511.0       | epsilon = 0.9921
Episode No. 60  | lose | Q(s,a) = -999.0000     | reward = -510.0       | epsilon = 0.9920
Episode No. 61  | lose | Q(s,a) =  10.3656      | reward = -449.0       | epsilon = 0.9919
Episode No. 62  | lose | Q(s,a) = -999.0000     | reward = -474.0       | epsilon = 0.9917
Episode No. 63  | lose | Q(s,a) = -999.0000     | reward = -411.0       | epsilon = 0.9916
Episode No. 64  | lose | Q(s,a) = -999.0000     | reward = -482.0       | epsilon = 0.9915
